run_id,time_s,air_temp_c,part_temp_c,heat_flow_w_kg
A,0,25,25.0139,0.3209
A,30,27.0833,25.0891,0.31
A,60,29.1667,25.2582,0.2889
A,90,31.25,25.5139,0.2585
A,120,33.3333,25.8502,0.2198
A,150,35.4167,26.2624,0.1743
A,180,37.5,26.7473,0.1237
A,210,39.5833,27.3031,0.0698
A,240,41.6667,27.9291,0.0147
A,270,43.75,28.6251,-0.0396
A,300,45.8333,29.3911,-0.091
A,330,47.9167,30.2269,-0.1375
A,360,50,31.1313,-0.1773
A,390,52.0833,32.1023,-0.2089
A,420,54.1667,33.1368,-0.2308
A,450,56.25,34.2305,-0.2421
A,480,58.3333,35.3782,-0.242
A,510,60.4167,36.5743,-0.2304
A,540,62.5,37.813,-0.2073
A,570,64.5833,39.0889,-0.1732
A,600,66.6667,40.3974,-0.1287
A,630,68.75,41.7351,-0.0751
A,660,70.8333,43.0999,-0.0136
A,690,72.9167,44.491,0.0542
A,720,75,45.9088,0.1265
A,750,77.0833,47.3549,0.2017
A,780,79.1667,48.8312,0.2779
A,810,81.25,50.3395,0.3537
A,840,83.3333,51.8814,0.4275
A,870,85.4167,53.4576,0.4981
A,900,87.5,55.0678,0.5647
A,930,89.5833,56.7104,0.6266
A,960,91.6667,58.3825,0.6838
A,990,93.75,60.0805,0.7367
A,1020,95.8333,61.8001,0.7861
A,1050,97.9167,63.5368,0.8332
A,1080,100,65.2866,0.88
A,1110,102.0833,67.0459,0.9288
A,1140,104.1667,68.8126,0.9822
A,1170,106.25,70.5857,1.0435
A,1200,108.3333,72.3655,1.1162
A,1230,110.4167,74.1534,1.2041
A,1260,112.5,75.9519,1.3115
A,1290,114.5833,77.7637,1.4428
A,1320,116.6667,79.5917,1.6024
A,1350,118.75,81.4382,1.795
A,1380,120.8333,83.3048,2.0255
A,1410,122.9167,85.1917,2.2987
A,1440,125,87.0981,2.6194
A,1470,127.0833,89.0219,2.9928
A,1500,129.1667,90.9601,3.4236
A,1530,131.25,92.909,3.9172
A,1560,133.3333,94.8648,4.4787
A,1590,135.4167,96.824,5.1137
A,1620,137.5,98.7839,5.8278
A,1650,139.5833,100.7427,6.6273
A,1680,141.6667,102.7002,7.5188
A,1710,143.75,104.657,8.5095
A,1740,145.8333,106.6154,9.6073
A,1770,147.9167,108.5783,10.8211
A,1800,150,110.549,12.1607
A,1830,150,112.4795,13.5981
A,1860,150,114.3249,15.0933
A,1890,150,116.0915,16.6391
A,1920,150,117.7847,18.2279
A,1950,150,119.4081,19.8522
A,1980,150,120.9641,21.5048
A,2010,150,122.4536,23.1787
A,2040,150,123.8769,24.8671
A,2070,150,125.2339,26.5638
A,2100,150,126.5244,28.2629
A,2130,150,127.7492,29.9591
A,2160,150,128.9095,31.6474
A,2190,150,130.0078,33.3235
A,2220,150,131.0479,34.9833
A,2250,150,132.0344,36.6232
A,2280,150,132.9724,38.2398
A,2310,150,133.8677,39.8303
A,2340,150,134.7257,41.3919
A,2370,150,135.5512,42.9218
A,2400,150,136.3479,44.4176
A,2430,150,137.1184,45.877
A,2460,150,137.8638,47.2973
A,2490,150,138.5839,48.6764
A,2520,150,139.2776,50.0116
A,2550,150,139.9429,51.3006
A,2580,150,140.5777,52.5408
A,2610,150,141.1799,53.7298
A,2640,150,141.7485,54.865
A,2670,150,142.2829,55.944
A,2700,150,142.7843,56.9645
A,2730,150,143.2547,57.9244
A,2760,150,143.6974,58.8215
A,2790,150,144.1163,59.6544
A,2820,150,144.5157,60.4214
A,2850,150,144.8999,61.1217
A,2880,150,145.2725,61.7547
A,2910,150,145.6362,62.3201
A,2940,150,145.9926,62.8183
A,2970,150,146.3418,63.2501
A,3000,150,146.6828,63.6169
A,3030,150,147.0134,63.9203
A,3060,150,147.331,64.1626
A,3090,150,147.6326,64.3465
A,3120,150,147.9158,64.475
A,3150,150,148.1784,64.5515
A,3180,150,148.4198,64.5794
A,3210,150,148.6401,64.5625
A,3240,150,148.8412,64.5046
A,3270,150,149.0256,64.4096
A,3300,150,149.1969,64.2812
A,3330,150,149.3589,64.1229
A,3360,150,149.5155,63.9381
A,3390,150,149.6698,63.7299
A,3420,150,149.8241,63.5009
A,3450,150,149.9796,63.2536
A,3480,150,150.1361,62.9899
A,3510,150,150.2921,62.7111
A,3540,150,150.4453,62.4185
A,3570,150,150.5925,62.1127
A,3600,150,150.7308,61.7939
A,3630,150,150.8571,61.4621
A,3660,150,150.9693,61.1171
A,3690,150,151.0663,60.7581
A,3720,150,151.1483,60.3845
A,3750,150,151.2167,59.9955
A,3780,150,151.2739,59.5902
A,3810,150,151.3234,59.168
A,3840,150,151.3687,58.7281
A,3870,150,151.4135,58.2702
A,3900,150,151.4608,57.7941
A,3930,150,151.5127,57.2999
A,3960,150,151.5701,56.7879
A,3990,150,151.6326,56.259
A,4020,150,151.6987,55.7143
A,4050,150,151.7657,55.1552
A,4080,150,151.8305,54.5835
A,4110,150,151.8898,54.0011
A,4140,150,151.9405,53.4105
A,4170,150,151.9805,52.8139
A,4200,150,152.0085,52.214
