run_id,time_s,air_temp_c,part_temp_c,heat_flow_w_kg
B,0,25,25.0502,0.27
B,30,26.6667,25.1055,0.2336
B,60,28.3333,25.2313,0.1898
B,90,30,25.4231,0.1402
B,120,31.6667,25.6777,0.0865
B,150,33.3333,25.9933,0.0308
B,180,35,26.3694,-0.0251
B,210,36.6667,26.8061,-0.0789
B,240,38.3333,27.3038,-0.1287
B,270,40,27.8629,-0.1727
B,300,41.6667,28.4831,-0.2091
B,330,43.3333,29.1631,-0.2367
B,360,45,29.9005,-0.2542
B,390,46.6667,30.6919,-0.2611
B,420,48.3333,31.5326,-0.2568
B,450,50,32.4177,-0.2414
B,480,51.6667,33.3414,-0.2153
B,510,53.3333,34.2986,-0.1793
B,540,55,35.2846,-0.1344
B,570,56.6667,36.2958,-0.0821
B,600,58.3333,37.3297,-0.0239
B,630,60,38.3853,0.0384
B,660,61.6667,39.4631,0.1027
B,690,63.3333,40.5641,0.1673
B,720,65,41.6905,0.23
B,750,66.6667,42.8444,0.2893
B,780,68.3333,44.0277,0.3433
B,810,70,45.2417,0.3908
B,840,71.6667,46.4866,0.4307
B,870,73.3333,47.7614,0.4622
B,900,75,49.064,0.4851
B,930,76.6667,50.3911,0.4993
B,960,78.3333,51.7386,0.5053
B,990,80,53.1024,0.5041
B,1020,81.6667,54.4781,0.4969
B,1050,83.3333,55.8622,0.4852
B,1080,85,57.252,0.4712
B,1110,86.6667,58.6462,0.4569
B,1140,88.3333,60.0448,0.4447
B,1170,90,61.4487,0.4372
B,1200,91.6667,62.8602,0.437
B,1230,93.3333,64.2821,0.4467
B,1260,95,65.7173,0.4686
B,1290,96.6667,67.1684,0.5054
B,1320,98.3333,68.6373,0.559
B,1350,100,70.1249,0.6315
B,1380,101.6667,71.6307,0.7245
B,1410,103.3333,73.1533,0.8395
B,1440,105,74.6897,0.9776
B,1470,106.6667,76.2366,1.1396
B,1500,108.3333,77.7903,1.326
B,1530,110,79.3468,1.5373
B,1560,111.6667,80.9033,1.7735
B,1590,113.3333,82.4574,2.0347
B,1620,115,84.0083,2.321
B,1650,116.6667,85.5564,2.6323
B,1680,118.3333,87.1031,2.9689
B,1710,120,88.6511,3.3311
B,1740,121.6667,90.2034,3.7196
B,1770,123.3333,91.7634,4.1354
B,1800,125,93.334,4.5799
B,1830,126.6667,94.9174,5.0553
B,1860,128.3333,96.5148,5.564
B,1890,130,98.1261,6.1092
B,1920,131.6667,99.75,6.6949
B,1950,133.3333,101.3839,7.3256
B,1980,135,103.0248,8.0065
B,2010,136.6667,104.669,8.7436
B,2040,138.3333,106.3133,9.5436
B,2070,140,107.9546,10.4136
B,2100,141.6667,109.5913,11.3616
B,2130,143.3333,111.2226,12.3959
B,2160,145,112.8491,13.5256
B,2190,146.6667,114.4728,14.7599
B,2220,148.3333,116.0964,16.1088
B,2250,150,117.7234,17.5821
B,2280,151.6667,119.3573,19.1904
B,2310,153.3333,121.0013,20.9441
B,2340,155,122.6579,22.8539
B,2370,156.6667,124.3285,24.9307
B,2400,158.3333,126.0132,27.1854
B,2430,160,127.7108,29.6289
B,2460,161.6667,129.4194,32.2721
B,2490,163.3333,131.1358,35.1259
B,2520,165,132.857,38.2014
B,2550,166.6667,134.5797,41.5092
B,2580,168.3333,136.3014,45.0603
B,2610,170,138.0205,48.8651
B,2640,171.6667,139.7368,52.9342
B,2670,173.3333,141.4512,57.2776
B,2700,175,143.1657,61.9052
B,2730,175,144.8426,66.6949
B,2760,175,146.4465,71.4985
B,2790,175,147.9845,76.2866
B,2820,175,149.4631,81.0304
B,2850,175,150.8875,85.7017
B,2880,175,152.262,90.2731
B,2910,175,153.5891,94.7189
B,2940,175,154.8701,99.0145
B,2970,175,156.1048,103.1373
B,3000,175,157.2922,107.0664
B,3030,175,158.431,110.7831
B,3060,175,159.5194,114.2706
B,3090,175,160.5566,117.5143
B,3120,175,161.5423,120.5021
B,3150,175,162.4774,123.2238
B,3180,175,163.3638,125.6715
B,3210,175,164.2049,127.8397
B,3240,175,165.0046,129.7248
B,3270,175,165.7674,131.3252
B,3300,175,166.4979,132.6413
B,3330,175,167.2002,133.6754
B,3360,175,167.8776,134.4312
B,3390,175,168.5324,134.9142
B,3420,175,169.1653,135.1311
B,3450,175,169.7759,135.0901
B,3480,175,170.3628,134.8002
B,3510,175,170.9236,134.2716
B,3540,175,171.4557,133.5151
B,3570,175,171.9566,132.5425
B,3600,175,172.4244,131.3657
B,3630,175,172.8581,129.9976
B,3660,175,173.2578,128.4511
B,3690,175,173.6252,126.7393
B,3720,175,173.9628,124.8758
B,3750,175,174.2743,122.874
B,3780,175,174.5639,120.7473
B,3810,175,174.8358,118.5093
B,3840,175,175.0939,116.1733
B,3870,175,175.3412,113.7525
B,3900,175,175.5796,111.2598
B,3930,175,175.81,108.7078
B,3960,175,176.0317,106.109
B,3990,175,176.2431,103.4753
B,4020,175,176.4416,100.8182
B,4050,175,176.6247,98.1487
B,4080,175,176.7895,95.4773
B,4110,175,176.9342,92.8138
B,4140,175,177.0576,90.1675
B,4170,175,177.1597,87.5469
B,4200,175,177.242,84.9596
B,4230,175,177.3069,82.4125
B,4260,175,177.358,79.912
B,4290,175,177.3991,77.463
B,4320,175,177.4343,75.0702
B,4350,175,177.4671,72.7369
B,4380,175,177.5005,70.4658
B,4410,175,177.536,68.2588
B,4440,175,177.574,66.117
B,4470,175,177.6137,64.0405
B,4500,175,177.653,62.0291
B,4530,175,177.6893,60.0816
B,4560,175,177.7193,58.1967
B,4590,175,177.7402,56.3722
B,4620,175,177.7497,54.6059
B,4650,175,177.7463,52.8951
B,4680,175,177.7297,51.2372
B,4710,175,177.7011,49.6294
B,4740,175,177.6626,48.069
B,4770,175,177.6174,46.5532
B,4800,175,177.5692,45.0797
B,4830,175,177.5215,43.6463
B,4860,175,177.4777,42.2511
B,4890,175,177.4403,40.8926
B,4920,175,177.4106,39.5695
B,4950,175,177.3887,38.2812
B,4980,175,177.3733,37.0271
B,5010,175,177.3623,35.8071
B,5040,175,177.3526,34.6215
B,5070,175,177.3408,33.4706
B,5100,175,177.3237,32.355
B,5130,175,177.2989,31.2754
B,5160,175,177.2646,30.2328
B,5190,175,177.2205,29.2278
B,5220,175,177.1674,28.2612
B,5250,175,177.1074,27.3334
B,5280,175,177.0434,26.4448
B,5310,175,176.9788,25.5955
B,5340,175,176.9172,24.7852
B,5370,175,176.8617,24.0134
B,5400,175,176.8147,23.2791
B,5430,175,176.7772,22.581
B,5460,175,176.7492,21.9176
B,5490,175,176.7294,21.2867
B,5520,175,176.7153,20.6863
B,5550,175,176.7038,20.1138
B,5580,175,176.6914,19.5666
B,5610,175,176.6748,19.0419
B,5640,175,176.6515,18.5369
B,5670,175,176.6196,18.0489
B,5700,175,176.5788,17.5751
B,5730,175,176.5299,17.1131
B,5760,175,176.4748,16.6605
B,5790,175,176.4163,16.2155
B,5820,175,176.358,15.7764
B,5850,175,176.3033,15.3418
B,5880,175,176.2552,14.9111
B,5910,175,176.216,14.4836
B,5940,175,176.1867,14.0595
B,5970,175,176.1672,13.6389
B,6000,175,176.1561,13.2228
B,6030,175,176.151,12.8119
B,6060,175,176.1485,12.4077
B,6090,175,176.1453,12.0116
B,6120,175,176.138,11.6253
B,6150,175,176.124,11.2502
B,6180,175,176.1016,10.8883
B,6210,175,176.0702,10.5408
B,6240,175,176.0308,10.2093
B,6270,175,175.9853,9.8949
B,6300,175,175.9365,9.5985
B,6330,174.0556,175.8647,9.3114
B,6360,173.1111,175.7515,9.0265
B,6390,172.1667,175.6021,8.7463
B,6420,171.2222,175.4208,8.4727
B,6450,170.2778,175.2106,8.2069
B,6480,169.3333,174.9731,7.9499
B,6510,168.3889,174.7089,7.7016
B,6540,167.4444,174.4169,7.4619
B,6570,166.5,174.0957,7.2301
B,6600,165.5556,173.7433,7.0052
B,6630,164.6111,173.3579,6.786
B,6660,163.6667,172.9382,6.5711
B,6690,162.7222,172.4838,6.359
B,6720,161.7778,171.9957,6.1484
B,6750,160.8333,171.4758,5.9379
B,6780,159.8889,170.9273,5.7264
B,6810,158.9444,170.3542,5.513
B,6840,158,169.761,5.2971
B,6870,157.0556,169.1519,5.0784
B,6900,156.1111,168.5311,4.8569
B,6930,155.1667,167.9016,4.633
B,6960,154.2222,167.2653,4.4074
